league,team,player,champion,dmgtochamps,predicted,goldspent
NALCS,Flyquest,Balls,Camille,9049,15229.164127762348,14258
NALCS,Dignitas,Ssumday,Camille,6864,15556.394105782145,15508
NALCS,Counter Logic Gaming,Darshan,Camille,5993,10075.399722063737,10758
NALCS,FlyQuest,Balls,Camille,11339,15419.652525038524,14408
NALCS,Dignitas,Ssumday,Camille,11352,13844.320142548628,14058
NALCS,Team SoloMid,Hauntzer,Camille,21734,14125.58039596821,13383
NALCS,Cloud9,Ray,Camille,16282,17351.01599238651,15913
NALCS,FlyQuest,Balls,Camille,15418,15833.651950583182,14733
NALCS,Echo Fox,Brandini,Camille,14024,11929.075432611799,11608
NALCS,Team SoloMid,Hauntzer,Camille,23098,13221.358028596615,12658
NALCS,FlyQuest,Balls,Camille,21070,16754.961236673615,16508
NALCS,Echo Fox,Brandini,Camille,24742,16249.369875643762,15058
NALCS,Counter Logic Gaming,Darshan,Camille,15576,10180.672930702713,10158
NALCS,Counter Logic Gaming,Darshan,Camille,12244,8591.983279771834,9408
NALCS,Phoenix1,zig,Cho'gath,5024,6730.784062648987,7550
NALCS,Phoenix1,zig,Cho'gath,12103,14330.306139358929,11925
NALCS,Phoenix1,zig,Cho'gath,9182,8588.168000057225,8900
NALCS,Dignitas,Ssumday,Cho'gath,24641,16934.92283593871,14075
NALCS,Counter Logic Gaming,Darshan,Cho'gath,14382,11754.175791796792,11e3
NALCS,Phoenix1,zig,Cho'gath,16486,16845.879407221124,14025
NALCS,Immortals,Flame,Cho'gath,17092,10666.473806286293,9770
NALCS,FlyQuest,Balls,Cho'gath,6820,10434.034710359963,10150
NALCS,FlyQuest,Balls,Cho'gath,9173,9905.490272730354,9800
NALCS,EnVyUs,Seraph,Cho'gath,15769,11675.114756131019,10950
NALCS,Immortals,Flame,Cho'gath,12838,12797.58376090453,11650
NALCS,EnVyUs,Seraph,Cho'gath,20213,19732.048124099416,15605
NALCS,EnVyUs,Seraph,Cho'gath,14077,16147.826983165172,13630
NALCS,Team SoloMid,Hauntzer,Cho'gath,18098,14437.24665717913,11985
NALCS,EnVyUs,Seraph,Cho'gath,6674,6500.965041212651,7375
NALCS,Team Liquid,Lourlo,Cho'gath,12321,14926.068358469596,12925
NALCS,Cloud9,Impact,Cho'gath,5123,6543.568845775327,7025
NALCS,Counter Logic Gaming,Darshan,Fiora,7637,12823.539888158237,11710
NALCS,Team Liquid,Lourlo,Fiora,6403,11101.720018134558,10175
NALCS,FlyQuest,Balls,Fiora,17902,20389.157593416334,18400
NALCS,Team SoloMid,Hauntzer,Fiora,14284,14444.199214709539,13150
NALCS,Dignitas,Ssumday,Fiora,20023,19813.742596890665,16575
NALCS,Dignitas,Ssumday,Fiora,19473,18343.191844143694,15375
NALCS,Counter Logic Gaming,Darshan,Fiora,26069,19622.00564038664,17725
NALCS,Dignitas,Ssumday,Fiora,10800,17425.606344950083,14625
NALCS,Team Liquid,Lourlo,Fiora,7298,13467.836723289018,12283
NALCS,Counter Logic Gaming,Darshan,Fiora,24846,18588.081409443825,15575
NALCS,Counter Logic Gaming,Darshan,Fiora,5696,10206.985036190243,9375
NALCS,Dignitas,Ssumday,Fiora,11464,8785.199653119782,8100
NALCS,Dignitas,Ssumday,Fiora,17374,11858.09152510856,10850
NALCS,Counter Logic Gaming,Darshan,Fiora,25076,17480.62740626889,14670
NALCS,Counter Logic Gaming,Darshan,Fiora,25846,15319.93408946907,12900
NALCS,Counter Logic Gaming,Darshan,Fiora,32180,21640.897065682264,19500
NALCS,Cloud9,Ray,Galio,15998,12899.159943225526,14175
NALCS,Echo Fox,Looper,Galio,19204,12563.14668102405,13500
NALCS,Phoenix1,zig,Galio,9427,10598.818075171586,11400
NALCS,Echo Fox,Looper,Galio,7842,12812.763821035516,14e3
NALCS,Team SoloMid,Hauntzer,Galio,21578,14231.76536303654,17e3
NALCS,Counter Logic Gaming,Darshan,Galio,8111,12960.57203308294,14300
NALCS,Team Liquid,Lourlo,Galio,3651,10510.48748393393,11225
NALCS,Team Liquid,Lourlo,Galio,16194,11867.603656381452,14050
NALCS,Immortals,Flame,Galio,6982,10909.3152511938,12025
NALCS,Immortals,Flame,Galio,15625,10202.73168299243,10625
NALCS,Counter Logic Gaming,Darshan,Galio,16363,11188.491340605868,12600
NALCS,Team Liquid,Lourlo,Galio,16644,12515.22779648747,15500
NALCS,Phoenix1,zig,Galio,10983,10674.035819377303,11550
NALCS,Counter Logic Gaming,Darshan,Galio,20206,10852.750160521864,11910
NALCS,Phoenix1,zig,Galio,20051,11935.979016278836,14200
NALCS,Cloud9,Impact,Galio,13834,11761.018462030263,11950
NALCS,Cloud9,Impact,Galio,9718,10603.8466716242,11410
NALCS,Cloud9,Impact,Galio,10500,10373.378355452674,9475
NALCS,Counter Logic Gaming,Darshan,Galio,16597,12565.663658670726,13505
NALCS,EnVyUs,Seraph,Galio,8103,13737.618117650352,15925
NALCS,Cloud9,Impact,Galio,9838,7966.323032790197,6725
NALCS,Cloud9,Impact,Galio,15925,10561.460570885582,9795
NALCS,Cloud9,Impact,Galio,12718,9513.850553968896,8075
NALCS,EnVyUs,Seraph,Galio,7926,10958.300764561034,12125
NALCS,Cloud9,Impact,Galio,10097,10012.683749191647,8875
NALCS,Team Liquid,Lourlo,Gnar,20009,25853.821404016715,20535
NALCS,Team SoloMid,Hauntzer,Gnar,18347,13024.14994524024,10875
NALCS,Cloud9,Ray,Gnar,12754,13722.717244699328,12125
NALCS,Team Liquid,Lourlo,Gnar,9064,12775.914899201274,11425
NALCS,Counter Logic Gaming,Darshan,Gnar,15704,13711.046722811789,11350
