league,team,player,champion,dmgtochamps,predicted,goldspent
NALCS,Flyquest,Balls,Camille,9049,14618.845256578785,14258
NALCS,Dignitas,Ssumday,Camille,6864,15406.746904522313,15508
NALCS,Counter Logic Gaming,Darshan,Camille,5993,9661.218478187455,10758
NALCS,FlyQuest,Balls,Camille,11339,11493.20221657932,14408
NALCS,Dignitas,Ssumday,Camille,11352,13838.967884914504,14058
NALCS,Team SoloMid,Hauntzer,Camille,21734,14564.703456428262,13383
NALCS,Cloud9,Ray,Camille,16282,15942.244922693604,15913
NALCS,FlyQuest,Balls,Camille,15418,16447.612065596328,14733
NALCS,Echo Fox,Brandini,Camille,14024,9591.800043849973,11608
NALCS,Team SoloMid,Hauntzer,Camille,23098,14114.753257363558,12658
NALCS,FlyQuest,Balls,Camille,21070,19230.24871208468,16508
NALCS,Echo Fox,Brandini,Camille,24742,17401.717147038955,15058
NALCS,Counter Logic Gaming,Darshan,Camille,15576,10015.654336736909,10158
NALCS,Counter Logic Gaming,Darshan,Camille,12244,12682.610355183175,9408
NALCS,Phoenix1,zig,Cho'gath,5024,8308.766972520783,7550
NALCS,Phoenix1,zig,Cho'gath,12103,14051.286472397283,11925
NALCS,Phoenix1,zig,Cho'gath,9182,11608.596028470041,8900
NALCS,Dignitas,Ssumday,Cho'gath,24641,16811.235615226185,14075
NALCS,Counter Logic Gaming,Darshan,Cho'gath,14382,16395.236585190934,11e3
NALCS,Phoenix1,zig,Cho'gath,16486,17120.74643851683,14025
NALCS,Immortals,Flame,Cho'gath,17092,12084.248256866462,9770
NALCS,FlyQuest,Balls,Cho'gath,6820,10169.880986540065,10150
NALCS,FlyQuest,Balls,Cho'gath,9173,13038.445580076077,9800
NALCS,EnVyUs,Seraph,Cho'gath,15769,14065.711916037148,10950
NALCS,Immortals,Flame,Cho'gath,12838,14880.666281804759,11650
NALCS,EnVyUs,Seraph,Cho'gath,20213,20925.556317509556,15605
NALCS,EnVyUs,Seraph,Cho'gath,14077,18496.28355868727,13630
NALCS,Team SoloMid,Hauntzer,Cho'gath,18098,16280.563419884853,11985
